uniprot,protein_name,transmembrane,peripheral,secreted,secreted_desc,secreted_highlight,receptor,receptor_desc,integrin,biosynthetic_pathway_desc,biosynthetic_pathway,other,other_desc,tags,tags_reason,tags_description,pfam,version
D3W0D1,KLRF2_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,KLR_add,FALSE,,FALSE,FALSE,,To_comment,Extracellular_add,,PF00059;,CellPhoneDBcore<=4.0
HLAA,HLAA,TRUE,FALSE,FALSE,,FALSE,TRUE,HLA,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
HLAB,HLAB,TRUE,FALSE,FALSE,,FALSE,TRUE,HLA,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
HLAC,HLAC,TRUE,FALSE,FALSE,,FALSE,TRUE,HLA,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O00144,FZD9_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,To_comment,Extracellular_add,,PF01534;PF01392;,CellPhoneDBcore<=4.0
O00175,CCL24_HUMAN,FALSE,FALSE,TRUE,Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00048;,CellPhoneDBcore<=4.0
O00182,LEG9_HUMAN,FALSE,FALSE,TRUE,Immune-related,TRUE,FALSE,,FALSE,,FALSE,FALSE,,To_comment,secretedhigh_add | peripheral_add,Ligand for HAVCR2/TIM3 (uniprot),PF00337;,CellPhoneDBcore<=4.0
O00220,TR10A_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,TNF_receptor_add,FALSE,,FALSE,FALSE,,To_add,,TNF_receptor_add (uniprot),PF00531;PF00020;,CellPhoneDBcore<=4.0
O00230,CORT_HUMAN,FALSE,FALSE,TRUE,Hormone,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF03002;,CellPhoneDBcore<=4.0
O00238,BMR1B_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,TGFBeta_receptor_add,FALSE,,FALSE,FALSE,,,,,PF01064;PF07714;PF08515;,CellPhoneDBcore<=4.0
O00241,SIRB1_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,To_add | To_comment,Receptor_add,Iglike | Receptor_add,PF07654;PF07686;,CellPhoneDBcore<=4.0
O00253,AGRP_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF05039;,CellPhoneDBcore<=4.0
O00292,LFTY2_HUMAN,FALSE,FALSE,TRUE,Growthfactor | Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00019;PF00688;,CellPhoneDBcore<=4.0
O00294,TULP1_HUMAN,FALSE,TRUE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O00300,TR11B_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00531;PF00020;,CellPhoneDBcore<=4.0
O00421,CCRL2_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,Atipical_chemokine_receptor_add,FALSE,,FALSE,FALSE,,,,,PF00001;,CellPhoneDBcore<=4.0
O00451,GFRA2_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,PF02351;,CellPhoneDBcore<=4.0
O00468,AGRIN_HUMAN,TRUE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O00548,DLL1_HUMAN,TRUE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF01414;PF00008;PF12661;PF07657;,CellPhoneDBcore<=4.0
O00574,CXCR6_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,Chemokine_receptor CXCR_add,FALSE,,FALSE,FALSE,,,,,PF00001;,CellPhoneDBcore<=4.0
O00584,RNT2_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O00585,CCL21_HUMAN,FALSE,FALSE,TRUE,Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00048;,CellPhoneDBcore<=4.0
O00590,ACKR2_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,Atipical_chemokine_receptor_add,FALSE,,FALSE,FALSE,,,,,PF00001;,CellPhoneDBcore<=4.0
O00592,PODXL_HUMAN,TRUE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,Migration,PF06365;,CellPhoneDBcore<=4.0
O00626,CCL22_HUMAN,FALSE,FALSE,TRUE,Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00048;,CellPhoneDBcore<=4.0
O00755,WNT7A_HUMAN,FALSE,FALSE,TRUE,CellSignal_WNT,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00110;,CellPhoneDBcore<=4.0
O14511,NRG2_HUMAN,TRUE,FALSE,TRUE,Growthfactor,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF07679;PF02158;,CellPhoneDBcore<=4.0
O14625,CXL11_HUMAN,FALSE,FALSE,TRUE,Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00048;,CellPhoneDBcore<=4.0
O14763,TR10B_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,TNF_receptor_add,FALSE,,FALSE,FALSE,,To_add,,TNF_receptor_add (uniprot),PF00531;PF00020;,CellPhoneDBcore<=4.0
O14786,NRP1_HUMAN,TRUE,FALSE,TRUE,Growthfactor,TRUE,TRUE,,FALSE,,FALSE,FALSE,,,,,PF00431;PF11980;PF00754;PF00629;,CellPhoneDBcore<=4.0
O14788,TNF11_HUMAN,TRUE,FALSE,TRUE,Cytokine,TRUE,TRUE,,FALSE,,FALSE,FALSE,,,,,PF00229;,CellPhoneDBcore<=4.0
O14793,GDF8_HUMAN,FALSE,FALSE,TRUE,Growthfactor | Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00019;PF00688;,CellPhoneDBcore<=4.0
O14798,TR10C_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,TNF_receptor_add,FALSE,,FALSE,FALSE,,,,,PF00020;,CellPhoneDBcore<=4.0
O14836,TR13B_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,TNF_receptor_add,FALSE,,FALSE,FALSE,,To_add,,TNF_family (uniprot),PF09305;,CellPhoneDBcore<=4.0
O14904,WNT9A_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O14905,WNT9B_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O14931,NCTR3_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,To_comment,Extracellular_add,,PF07686;,CellPhoneDBcore<=4.0
O14944,EREG_HUMAN,TRUE,FALSE,TRUE,Growthfactor,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O15031,PLXB2_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,PF08337;PF01437;PF01403;PF01833;PF17960;,CellPhoneDBcore<=4.0
O15041,SEM3E_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00047;PF01403;,CellPhoneDBcore<=4.0
O15123,ANGP2_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00147;,CellPhoneDBcore<=4.0
O15146,MUSK_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O15354,GPR37_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,PF00001;,CellPhoneDBcore<=4.0
O15444,CCL25_HUMAN,FALSE,FALSE,TRUE,Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00048;,CellPhoneDBcore<=4.0
O15467,CCL16_HUMAN,FALSE,FALSE,TRUE,Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00048;,CellPhoneDBcore<=4.0
O15520,FGF10_HUMAN,FALSE,FALSE,TRUE,Growthfactor,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00167;,CellPhoneDBcore<=4.0
O43157,PLXB1_HUMAN,TRUE,FALSE,TRUE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,Migration,PF08337;PF01437;PF01403;PF01833;PF18020;PF17960;,CellPhoneDBcore<=4.0
O43193,MTLR_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,PF00001;,CellPhoneDBcore<=4.0
O43323,DHH_HUMAN,TRUE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O43508,TNF12_HUMAN,TRUE,FALSE,TRUE,Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00229;,CellPhoneDBcore<=4.0
O43555,GON2_HUMAN,FALSE,FALSE,TRUE,Hormone,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00446;,CellPhoneDBcore<=4.0
O43557,TNF14_HUMAN,TRUE,FALSE,TRUE,Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00229;,CellPhoneDBcore<=4.0
O43603,GALR2_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,PF00001;,CellPhoneDBcore<=4.0
O43612,OREX_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,To_add | To_comment,secreted_add | extracellular_add,Genecards: hypothalamic neuropeptide precursor protein,PF02072;,CellPhoneDBcore<=4.0
O43613,OX1R_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,PF00001;,CellPhoneDBcore<=4.0
O43614,OX2R_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,PF00001;PF03827;,CellPhoneDBcore<=4.0
O43914,TYOBP_HUMAN,TRUE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,To_add,,complex,,CellPhoneDBcore<=4.0
O43915,VEGFD_HUMAN,FALSE,FALSE,TRUE,Growthfactor,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00341;,CellPhoneDBcore<=4.0
O43921,EFNA2_HUMAN,TRUE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,To_comment,extracellular_add,ligandIUPHAR,PF00812;,CellPhoneDBcore<=4.0
O43927,CXL13_HUMAN,FALSE,FALSE,TRUE,Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00048;,CellPhoneDBcore<=4.0
O60258,FGF17_HUMAN,FALSE,FALSE,TRUE,Growthfactor,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00167;,CellPhoneDBcore<=4.0
O60353,FZD6_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,To_comment,Extracellular_add,,PF01534;PF01392;,CellPhoneDBcore<=4.0
O60383,GDF9_HUMAN,FALSE,FALSE,TRUE,Growthfactor | Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00019;,CellPhoneDBcore<=4.0
O60462,NRP2_HUMAN,TRUE,FALSE,TRUE,Growthfactor,FALSE,TRUE,,FALSE,,FALSE,FALSE,,To_add | To_comment,secretedhigh_add,High affinity receptor for semaphorins | Growthfactor (uniprot),PF00431;PF11980;PF00754;PF00629;,CellPhoneDBcore<=4.0
O60469,DSCAM_HUMAN,TRUE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O60486,PLXC1_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,To_add | To_comment,transmembrane_add | receptor_add | extracellular_add,"Uniprot: Receptor for SEMA7A, for smallpox semaphorin A39R, vaccinia virus semaphorin A39R and for herpesvirus Sema protein",PF08337;PF01437;PF01833;,CellPhoneDBcore<=4.0
O60494,CUBN_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O60542,PSPN_HUMAN,FALSE,FALSE,TRUE,Growthfactor,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00019;,CellPhoneDBcore<=4.0
O60609,GFRA3_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,PF02351;,CellPhoneDBcore<=4.0
O60755,GALR3_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,PF00001;,CellPhoneDBcore<=4.0
O60894,RAMP1_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,To_add,,complex,,CellPhoneDBcore<=4.0
O60895,RAMP2_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,To_add,,complex,,CellPhoneDBcore<=4.0
O60896,RAMP3_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O75051,PLXA2_HUMAN,TRUE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF08337;PF01437;PF01403;PF01833;PF18020;PF17960;,CellPhoneDBcore<=4.0
O75084,FZD7_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,To_comment,Extracellular_add,,PF01534;PF01392;,CellPhoneDBcore<=4.0
O75093,SLIT1_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O75096,LRP4_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,To_add,,ligandIUPHAR,,CellPhoneDBcore<=4.0
O75144,ICOSL_HUMAN,TRUE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,To_add|To_comment,Extracellular_add,Iglike,PF07686;,CellPhoneDBcore<=4.0
O75197,LRP5_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,To_add | To_comment,extracellular_add,Component of the Wnt-Fzd-LRP5-LRP6 complex (uniprot),PF00057;PF00058;,CellPhoneDBcore<=4.0
O75326,SEM7A_HUMAN,TRUE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,Possible_receptor,PF13895;PF01437;PF01403;,CellPhoneDBcore<=4.0
O75473,LGR5_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,PF00560;PF13855;PF01462;,CellPhoneDBcore<=4.0
O75509,TNR21_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,TNF_receptor_add,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O75578,ITA10_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,To_add,,Integrin (uniprot),PF01839;PF08441;PF00092;,CellPhoneDBcore<=4.0
O75581,LRP6_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,PF00057;PF00058;,CellPhoneDBcore<=4.0
O75610,LFTY1_HUMAN,FALSE,FALSE,TRUE,Growthfactor | Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00019;PF00688;,CellPhoneDBcore<=4.0
O75888,TNF13_HUMAN,FALSE,FALSE,TRUE,Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00229;,CellPhoneDBcore<=4.0
O94813,SLIT2_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O94907,DKK1_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O95136,S1PR2_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O95150,TNF15_HUMAN,TRUE,FALSE,TRUE,Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00229;,CellPhoneDBcore<=4.0
O95185,UNC5C_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O95256,I18RA_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,Cytokine_receptor_add,FALSE,,FALSE,FALSE,,To_add,,Iglike,PF13895;PF18452;PF01582;,CellPhoneDBcore<=4.0
O95264,5HT3B_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O95390,GDF11_HUMAN,FALSE,FALSE,TRUE,Growthfactor | Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00019;PF00688;,CellPhoneDBcore<=4.0
O95393,BMP10_HUMAN,FALSE,FALSE,TRUE,Growthfactor | Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00019;PF00688;,CellPhoneDBcore<=4.0
O95399,UTS2_HUMAN,FALSE,FALSE,TRUE,Hormone,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF02083;,CellPhoneDBcore<=4.0
O95407,TNF6B_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00020;,CellPhoneDBcore<=4.0
O95631,NET1_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O95715,CXL14_HUMAN,FALSE,FALSE,TRUE,Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O95727,CRTAM_HUMAN,TRUE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,To_add | To_comment,Extracellular_add,Iglike | Possible_receptor,PF08205;PF07686;,CellPhoneDBcore<=4.0
O95750,FGF19_HUMAN,FALSE,FALSE,TRUE,Growthfactor,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00167;,CellPhoneDBcore<=4.0
O95760,IL33_HUMAN,FALSE,FALSE,TRUE,Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF15095;,CellPhoneDBcore<=4.0
O95800,GPR75_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,PF00001;,CellPhoneDBcore<=4.0
O95813,CER1_HUMAN,FALSE,FALSE,TRUE,Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF03045;,CellPhoneDBcore<=4.0
O95838,GLP2R_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,PF00002;PF02793;,CellPhoneDBcore<=4.0
O95971,BY55_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O95972,BMP15_HUMAN,FALSE,FALSE,TRUE,Growthfactor | Cytokine,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00019;,CellPhoneDBcore<=4.0
O96014,WNT11_HUMAN,FALSE,FALSE,TRUE,CellSignal_WNT,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00110;,CellPhoneDBcore<=4.0
P00533,EGFR_HUMAN,TRUE,FALSE,TRUE,,FALSE,TRUE,Estrogen_receptor_add,FALSE,,FALSE,FALSE,,,,,PF00757;PF14843;PF07714;PF01030;,CellPhoneDBcore<=4.0
P00734,THRB_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00594;PF00051;PF09396;PF00089;,CellPhoneDBcore<=4.0
P00742,FA10_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00008;PF00594;PF00089;,CellPhoneDBcore<=4.0
P00747,PLMN_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00051;PF00024;PF00089;,CellPhoneDBcore<=4.0
P00749,UROK_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P00797,RENI_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P01019,ANGT_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00079;,CellPhoneDBcore<=4.0
P01024,CO3_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,PF00207;PF07703;PF07677;PF01821;PF17790;PF01835;PF17791;PF17789;PF01759;PF07678;,CellPhoneDBcore<=4.0
